Category,Code,Quantity Available,Range,Board Type,Species / Colour / Decore,Supplier,Description - Paragraph 1,Description - Paragraph 2,Description - Paragraph 3,Description - Paragraph 4,Country of Origin Manufacture,Product - Length,Product - Width,Product - Thickness Veneer,Product - Thickness Total,Pack - Length,Pack - Width,Pack - Thickness,Pack - Weight,Boards per pack,Installation options,Underlay Options,Glue Options,Scotia Options,Accessories,Size m2,Edge Type,Joint System,Surface Finish,Janka Rating,Structural Warranty,Wear Layer Warranty,Construction Style,Recommended Use,Recommended Areas of Use,Care Instructions,Standards - Coating,Standards - AC Rating,Standards - Core Type,Standards - Anti Slip Test,Standards - ISO Certification,Standards - Base,Trim Options,Recommended Retail Price,Online Discount,Media - Photo 1,Media - Photo 2,Media - Photo 3,Media - Instructional Video
Bamboo Flooring,EL9205,139,Tru Bamboo,1 Strip Narrow Strandwoven,Autumn,Elegant Living,"Our Tru-Bamboo comes in a variety of shades and hues, and also presents a very pleasing pattern created by the alternating banded pattern that is naturally produced by its nodes.  The process of carbonization makes it possible to obtain bamboo in light, natural and dark shades. Different kinds of wood stains and varnishes can also be used to make it the desired colour. Bamboo floors will suit all kinds of design schemes. They are suited to tropical or Zen-inspired interiors, but they will also work for an ultra-modern theme or one that incorporates some vintage colonial elements.
","All Tru-Bamboo is cold pressed creating a stronger resistance to deformation of the boards and a richer variety of colour from plank to plank. The Cold press method of production provides an extremely stable product that is more suitable to Australia’s harsh conditions!
Bamboo flooring is also considered to be eco friendly as it is classified as a grass which it means it grows at a rapid rate. Bamboo floors have a strong strength and durability and are resistant to insects and have better resistant to moisture than other wood floors.",,,China,1850mm,135mm,n/a,14mm,,,,24kg,6,This type of flooring can be floated over any level hard surface throughout your home. (except Wet areas) A floating floor requires an expansion gap to be left around the perimeter of the room and to any solid obstructions. Floating floors can be installed over existing direct stuck vinyl floors and some tiled floors also. Please refer to the manufacturers guide for further instructions.,Standard 2mm Foam or Acoustic and Moisture barrier required,n/a,HDF Quads and Scotia's avaliable,n/a,1.5,4 sided bevelled edge,Uniclic,UV Cured Varnish 5 - 7 Layers (25% Gloss),3430,20 years Manufacturer warranty,20 years Manufacturer warranty,Cold Pressed Strand Woven,All Area's except wet area's,All Area's except wet area's,Like all floating floors you should only lightly Mop your floor without leaving any excess water on it. A constant humidty level of around 55-65% relative air humity is best to preserve the value of and to care for your floor. We also recommend mats at all doorways to avoid sand and dirt being walked onto the flooring. Further maintainence guides are available on the manufacturers web site.,UV Hardened Arclylic,AC3,Solid Stranwoven Bamboo,,,n/a,Metal,73,0,EL9205_V,EL9205_L,EL9205_S,
Bamboo Flooring,EL9207,190,Tru Bamboo,1 Strip Narrow Strandwoven,Antique,Elegant Living,"Our Tru-Bamboo comes in a variety of shades and hues, and also presents a very pleasing pattern created by the alternating banded pattern that is naturally produced by its nodes.  The process of carbonization makes it possible to obtain bamboo in light, natural and dark shades. Different kinds of wood stains and varnishes can also be used to make it the desired colour. Bamboo floors will suit all kinds of design schemes. They are suited to tropical or Zen-inspired interiors, but they will also work for an ultra-modern theme or one that incorporates some vintage colonial elements.
","All Tru-Bamboo is cold pressed creating a stronger resistance to deformation of the boards and a richer variety of colour from plank to plank. The Cold press method of production provides an extremely stable product that is more suitable to Australia’s harsh conditions!
Bamboo flooring is also considered to be eco friendly as it is classified as a grass which it means it grows at a rapid rate. Bamboo floors have a strong strength and durability and are resistant to insects and have better resistant to moisture than other wood floors.",,,China,1850mm,135mm,n/a,14mm,,,,24kg,6,This type of flooring can be floated over any level hard surface throughout your home. (except Wet areas) A floating floor requires an expansion gap to be left around the perimeter of the room and to any solid obstructions. Floating floors can be installed over existing direct stuck vinyl floors and some tiled floors also. Please refer to the manufacturers guide for further instructions.,Standard 2mm Foam or Acoustic and Moisture barrier required,n/a,HDF Quads and Scotia's avaliable,n/a,1.5,4 sided bevelled edge,Uniclic,UV Cured Varnish 5 - 7 Layers (25% Gloss),3430,20 years Manufacturer warranty,20 years Manufacturer warranty,Cold Pressed Strand Woven,All Area's except wet area's,All Area's except wet area's,Like all floating floors you should only lightly Mop your floor without leaving any excess water on it. A constant humidty level of around 55-65% relative air humity is best to preserve the value of and to care for your floor. We also recommend mats at all doorways to avoid sand and dirt being walked onto the flooring. Further maintainence guides are available on the manufacturers web site.,UV Hardened Arclylic,AC3,Solid Stranwoven Bamboo,,,n/a,Metal,73,0,EL9207_V,EL9207_L,EL9207_S,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
